"domain","category","hashtags","date"
"aawelcome4.xyz","Blockchain and Cryptocurrencies","#wealth,#cryptocurrency,#trading,#money,#coin,#debt","2022-05-18"
"akiroart.com","Blockchain and Cryptocurrencies","#account,#ledger,#blockchain","2022-05-18"
"alextuturescu.xyz","Blockchain and Cryptocurrencies","#blockchain","2022-05-18"
"algomena.com","Blockchain and Cryptocurrencies","#ledger,#wallet,#bitcoin,#ethereum","2022-05-18"
"allchaindapps.com","Blockchain and Cryptocurrencies","#crypto,#coin,#fund,#wallet","2022-05-18"
"allcryptowebsites.com","Blockchain and Cryptocurrencies","#crypto,#bitcoin,#ethereum,#binance,#coin,#dogecoin,#ripple,#tether,#polkadot,#polygon,#litecoin,#monero,#elrond,#tezos,#theta,#kucoin,#helium,#huobi,#iota,#coinbase,#kraken,#bitfinex,#bitstamp,#coindesk,#blockchain,#metamask,#wallet,#exodus,#cardano,#solana,#trezor,#ledger,#swap,#pancakeswap,#uniswap,#sandbox,#decentraland","2022-05-18"
"anacrypt.net","Blockchain and Cryptocurrencies","#coin,#account,#blockchain,#cryptocurrency,#bitcoin,#savings,#trading,#crypto","2022-05-18"
"apnc.info","Blockchain and Cryptocurrencies","#crypto,#ethereum,#wallet,#coinbase,#blockchain,#metamask,#pancakeswap,#swap","2022-05-18"
"apptitano.finance","Blockchain and Cryptocurrencies","#swap,#account,#wallet,#savings,#money","2022-05-18"
"arche-c.xyz","Blockchain and Cryptocurrencies","#wallet","2022-05-18"
"assetcoin-invest.com","Blockchain and Cryptocurrencies","#coin,#bitcoin,#cryptocurrency,#blockchain,#wealth,#trading,#money,#finance,#account","2022-05-18"
"autoappfix.com","Blockchain and Cryptocurrencies","#wallet,#blockchain,#coinbase,#ledger,#exodus,#polkadot,#crypto,#safepal","2022-05-18"
"autootrade.com","Blockchain and Cryptocurrencies","#bitcoin,#cryptocurrency,#payment,#trading,#gold,#money,#ethereum","2022-05-18"
"babyxbsc.com","Blockchain and Cryptocurrencies","#blockchain,#wallet,#binance,#coin,#swap","2022-05-18"
"backbenchersnft.art","Blockchain and Cryptocurrencies","#money","2022-05-18"
"balancerr.finance","Blockchain and Cryptocurrencies","#walletconnect,#ethereum,#polygon,#wallet,#ledger,#metamask","2022-05-18"
"bayc-ape.store","Blockchain and Cryptocurrencies","#wallet,#ethereum,#blockchain,#opensea,#money","2022-05-18"
"bayc-open.store","Blockchain and Cryptocurrencies","#wallet,#ethereum,#blockchain,#opensea,#money","2022-05-18"
"bayc-openedsea.store","Blockchain and Cryptocurrencies","#wallet,#ethereum,#blockchain,#opensea,#money","2022-05-18"
"bayc-openthesea.store","Blockchain and Cryptocurrencies","#wallet,#ethereum,#blockchain,#opensea,#money","2022-05-18"
"bestfdi.com","Blockchain and Cryptocurrencies","#cryptocurrency,#account,#fund,#wealth,#bitcoin,#payment,#money,#trading","2022-05-18"
"big3-nft.com","Blockchain and Cryptocurrencies","#gold,#blockchain,#wallet","2022-05-18"
"binanbrasil.com","Blockchain and Cryptocurrencies","#binance,#bitcoin,#trading,#ethereum","2022-05-18"
"biswap-web.net","Blockchain and Cryptocurrencies","#wallet,#walletconnect,#binance,#trading,#swap","2022-05-18"
"bitcoinatmalaska.com","Blockchain and Cryptocurrencies","#bitcoin,#crypto,#wallet","2022-05-18"
"bitkloz.com","Blockchain and Cryptocurrencies","#cryptocurrency,#bitcoin,#trading,#crypto,#wallet,#polygon,#ethereum,#dogecoin,#ripple,#money","2022-05-18"
"bitokbuy.com","Blockchain and Cryptocurrencies","#cryptocurrency,#trading,#wallet,#bitcoin,#ethereum,#ripple,#litecoin,#polygon,#crypto,#dash","2022-05-18"
"bittradinguk.com","Blockchain and Cryptocurrencies","#cryptocurrency,#trading,#account,#money,#crypto,#bitcoin,#ethereum,#litecoin,#dash,#dogecoin","2022-05-18"
"bitzoliq.com","Blockchain and Cryptocurrencies","#cryptocurrency,#bitcoin,#crypto,#wallet,#trading,#polygon,#ethereum,#dogecoin,#ripple,#money","2022-05-18"
"bizzarecrypto.com","Blockchain and Cryptocurrencies","#crypto,#binance","2022-05-18"
"bk4king.com","Blockchain and Cryptocurrencies","#bitcoin,#wallet,#kraken,#bank,#coin","2022-05-18"
"blascantotour.com","Blockchain and Cryptocurrencies","#cryptocurrency,#trading,#money,#finance,#crypto,#bank","2022-05-18"
"block2ledger.com","Blockchain and Cryptocurrencies","#trading,#account,#bitcoin,#bank","2022-05-18"
"boxch.net","Blockchain and Cryptocurrencies","#wallet,#money","2022-05-18"
"breaownovers.online","Blockchain and Cryptocurrencies","#crypto,#money,#bitcoin,#payment,#wealth,#pension,#finance,#trading,#cryptocurrency,#opensea,#blockchain,#ethereum,#coin,#wallet,#account,#polygon,#solana,#debt,#gold,#bank,#coindesk,#ripple,#binance","2022-05-18"
"bscpadairdrop.com","Blockchain and Cryptocurrencies","#blockchain,#wallet,#crypto,#money,#account,#cryptocurrency","2022-05-18"
"btcavenue.com","Blockchain and Cryptocurrencies","#bitcoin,#wallet,#crypto,#cryptocurrency,#coin,#account","2022-05-18"
"bullscrypto.xyz","Blockchain and Cryptocurrencies","#bitcoin,#blockchain,#cryptocurrency,#wallet","2022-05-18"
"californiabitcoinatms.com","Blockchain and Cryptocurrencies","#bitcoin,#crypto,#wallet,#cryptocurrency,#account","2022-05-18"
"careercoinfairlaunch.com","Blockchain and Cryptocurrencies","#blockchain,#binance,#crypto,#payment,#wallet,#coin,#fund","2022-05-18"
"casetify.xyz","Blockchain and Cryptocurrencies","#wallet","2022-05-18"
"changelly.ltd","Blockchain and Cryptocurrencies","#crypto,#money,#account,#trading,#gold,#ethereum,#polygon,#blockchain,#binance","2022-05-18"
"chickensfarm.finance","Blockchain and Cryptocurrencies","#wallet,#blockchain,#binance,#money,#fund,#metamask","2022-05-18"
"claimphantom.com","Blockchain and Cryptocurrencies","#wallet,#account,#metamask","2022-05-18"
"clonexnycdrop.com","Blockchain and Cryptocurrencies","#account,#wallet,#blockchain","2022-05-18"
"coinbristol.com","Blockchain and Cryptocurrencies","#cryptocurrency,#account,#blockchain,#finance,#payment,#trading,#wealth,#money,#coin,#fund,#ethereum,#tether,#litecoin,#dogecoin,#binance","2022-05-18"
"coindeskfx.biz","Blockchain and Cryptocurrencies","#cryptocurrency,#wealth,#trading,#money,#payment,#crypto,#wallet,#bitcoin,#account","2022-05-18"
"coinhooli.com","Blockchain and Cryptocurrencies","#cryptocurrency,#polkadot,#coin,#binance,#crypto,#bitcoin,#ethereum,#theta","2022-05-18"
"coinmistry.com","Blockchain and Cryptocurrencies","#cryptocurrency","2022-05-18"
"coinsserver.net","Blockchain and Cryptocurrencies","#bitcoin,#wallet,#bank,#blockchain,#cryptocurrency,#payment,#trading,#account","2022-05-18"
"coinufo.com","Blockchain and Cryptocurrencies","#cryptocurrency,#bitcoin,#coin,#ethereum,#ripple,#crypto,#binance,#polkadot,#finance","2022-05-18"
"commonn-wealth-bnkk.com","Blockchain and Cryptocurrencies","#coin,#gold,#money,#wealth","2022-05-18"
"consensusnewbrunswick.ca","Blockchain and Cryptocurrencies","#account","2022-05-18"
"cosmicaliencult.com","Blockchain and Cryptocurrencies","#ethereum,#blockchain,#wallet","2022-05-18"
"cosmicastranauts.com","Blockchain and Cryptocurrencies","#wallet,#blockchain","2022-05-18"
"cosmicastronauts.space","Blockchain and Cryptocurrencies","#wallet","2022-05-18"
