domain,category,hashtags,date
0x0xapes.com,Blockchain and Cryptocurrencies,"#ethereum,#blockchain,#opensea,#coinbase,#cryptocurrency,#metamask,#wallet",5-Apr-22
3weblabs.xyz,Blockchain and Cryptocurrencies,"#blockchain,#finance,#cryptocurrency",5-Apr-22
89ke.info,Blockchain and Cryptocurrencies,"#wallet,#account",5-Apr-22
ada-claimx2.com,Blockchain and Cryptocurrencies,"#coin,#payment,#wallet,#binance,#coinbase,#crypto",5-Apr-22
adaswapsales.online,Blockchain and Cryptocurrencies,"#swap,#ethereum,#tether",5-Apr-22
advice-crypt.com,Blockchain and Cryptocurrencies,"#cryptocurrency,#money,#crypto,#bank,#blockchain",5-Apr-22
airdropnow.xyz,Blockchain and Cryptocurrencies,"#crypto,#cryptocurrency,#coin,#bitcoin,#wealth,#account,#wallet,#trading,#money,#uniswap,#ledger",5-Apr-22
airdropxrp.net,Blockchain and Cryptocurrencies,"#wallet,#money,#ripple,#payment",5-Apr-22
allone65.info,Blockchain and Cryptocurrencies,"#wallet,#money",5-Apr-22
alphacapitallimited.com,Blockchain and Cryptocurrencies,"#bitcoin,#cryptocurrency,#trading,#account,#fund,#payment",5-Apr-22
amajon.asia,Blockchain and Cryptocurrencies,"#blockchain,#account",5-Apr-22
angeliamariebrown.com,Blockchain and Cryptocurrencies,"#trading,#cryptocurrency,#crypto",5-Apr-22
angrylemur.online,Blockchain and Cryptocurrencies,"#coin,#wallet",5-Apr-22
antiwar.info,Blockchain and Cryptocurrencies,"#bitcoin,#payment,#coin,#cryptocurrency,#bank,#money,#crypto,#blockchain,#pancakeswap",5-Apr-22
anynft.space,Blockchain and Cryptocurrencies,"#blockchain,#money,#opensea,#payment",5-Apr-22
apecoin-token.com,Blockchain and Cryptocurrencies,"#wallet,#fund,#ethereum",5-Apr-22
aphroditefinance.com,Blockchain and Cryptocurrencies,"#finance,#wallet,#payment,#trading",5-Apr-22
appsafe.club,Blockchain and Cryptocurrencies,#gold,5-Apr-22
arkimediaagency.com,Blockchain and Cryptocurrencies,"#blockchain,#crypto",5-Apr-22
assetrectify.com,Blockchain and Cryptocurrencies,"#blockchain,#wallet",5-Apr-22
atomiccoinwallet.com,Blockchain and Cryptocurrencies,"#cryptocurrency,#wallet,#bitcoin,#ethereum,#polkadot,#binance,#coin,#dogecoin,#tezos,#insurance,#payment",5-Apr-22
