"domain","category","hashtags","date"
"123money.pro","Blockchain and Cryptocurrencies","#money,#binance,#wallet","2022-06-01"
"123plu.net","Blockchain and Cryptocurrencies","#wallet","2022-06-01"
"123up1.online","Blockchain and Cryptocurrencies","#money,#wallet","2022-06-01"
"24elitemarket.info","Blockchain and Cryptocurrencies","#bitcoin,#trading,#cryptocurrency,#account,#fund,#wealth,#gold,#coin,#ledger,#blockchain,#debt,#crypto,#ethereum,#iota,#dash,#monero","2022-06-01"
"2k75.xyz","Blockchain and Cryptocurrencies","#account,#bitcoin,#coin","2022-06-01"
"2xboosted.com","Blockchain and Cryptocurrencies","#crypto,#wallet,#blockchain,#cryptocurrency,#payment","2022-06-01"
"2xethers.com","Blockchain and Cryptocurrencies","#blockchain,#coin,#cryptocurrency,#payment,#wallet,#binance,#crypto,#coinbase","2022-06-01"
"2xfungibility-event.digital","Blockchain and Cryptocurrencies","#kraken,#binance,#cryptocurrency,#coin,#crypto,#wallet,#bitcoin,#ethereum,#ripple,#tether,#dash,#trading,#monero,#bank,#money","2022-06-01"
"5000-eth.com","Blockchain and Cryptocurrencies","#blockchain,#coin,#cryptocurrency,#payment,#wallet,#coinbase,#binance,#crypto,#metamask","2022-06-01"
"5scev.xyz","Blockchain and Cryptocurrencies","#tether,#wallet,#cryptocurrency","2022-06-01"
"668dg.info","Blockchain and Cryptocurrencies","#wallet,#money","2022-06-01"
"a1-expertoption.com","Blockchain and Cryptocurrencies","#trading,#cryptocurrency,#bitcoin,#account,#fund,#wallet,#ethereum,#litecoin","2022-06-01"
"agant.world","Blockchain and Cryptocurrencies","#cryptocurrency,#gold,#wallet,#crypto,#payment,#wealth","2022-06-01"
"alienspaceinu.com","Blockchain and Cryptocurrencies","#wallet,#bank,#account,#binance,#coin,#cryptocurrency,#swap,#trading,#money","2022-06-01"
"allthi.com","Blockchain and Cryptocurrencies","#wallet,#coin,#payment,#account","2022-06-01"
"alpha-news.net","Blockchain and Cryptocurrencies","#dogecoin,#cryptocurrency,#bitcoin,#coinbase","2022-06-01"
"altcointraders.ltd","Blockchain and Cryptocurrencies","#trading,#cryptocurrency,#account,#bitcoin,#ethereum,#litecoin,#ripple,#pension","2022-06-01"
"altcryptofolio.com","Blockchain and Cryptocurrencies","#cryptocurrency,#trading,#crypto,#account,#bitcoin,#payment,#fund,#wallet,#blockchain,#money","2022-06-01"
"altrucoinint.com","Blockchain and Cryptocurrencies","#coin,#trading,#cryptocurrency,#bitcoin,#account,#fund,#wallet,#ethereum,#litecoin","2022-06-01"
