"domain","category","hashtags","date"
"0xnft.world","Blockchain and Cryptocurrencies","#ethereum","2022-05-14"
"1-2-3-crypto.academy","Blockchain and Cryptocurrencies","#crypto,#money","2022-05-14"
"123k.club","Blockchain and Cryptocurrencies","#wallet","2022-05-14"
"22twitter.net","Blockchain and Cryptocurrencies","#bitcoin,#ethereum,#coin,#cryptocurrency,#payment","2022-05-14"
"9riverscapitals.com","Blockchain and Cryptocurrencies","#bitcoin,#ethereum,#cryptocurrency,#trading,#fund,#wealth,#insurance,#money,#coin,#ledger,#payment,#wallet,#gold,#account","2022-05-14"
"adtvedortgaiges.online","Blockchain and Cryptocurrencies","#bank,#binance,#bitcoin,#blockchain,#crypto,#ripple","2022-05-14"
"aeterna.tools","Blockchain and Cryptocurrencies","#wallet,#account,#fund,#money,#swap","2022-05-14"
"airdrop-ada.net","Blockchain and Cryptocurrencies","#coin,#cryptocurrency,#payment,#wallet","2022-05-14"
"akasagames.com","Blockchain and Cryptocurrencies","#wallet,#blockchain,#cryptocurrency,#coin,#trading,#binance,#loan,#account,#money","2022-05-14"
"akrp.info","Blockchain and Cryptocurrencies","#ethereum,#wallet,#coinbase,#blockchain,#metamask,#uniswap,#swap","2022-05-14"
"algo-developer.com","Blockchain and Cryptocurrencies","#blockchain,#wallet,#gitcoin,#account,#exodus,#cryptocurrency","2022-05-14"
"alliancetrust.biz","Blockchain and Cryptocurrencies","#insurance,#cryptocurrency,#trading,#account,#fund,#bitcoin,#wallet,#blockchain,#payment,#money","2022-05-14"
"allkazinabilah24.website","Blockchain and Cryptocurrencies","#blockchain,#trading,#ledger,#finance,#wealth","2022-05-14"
"alphagorillas-mint.com","Blockchain and Cryptocurrencies","#wallet,#blockchain","2022-05-14"
"amb456.com","Blockchain and Cryptocurrencies","#wallet","2022-05-14"
"angalwallet.com","Blockchain and Cryptocurrencies","#wallet,#crypto,#monero,#ethereum","2022-05-14"
"ape-drop.space","Blockchain and Cryptocurrencies","#polygon,#blockchain,#wallet,#ethereum","2022-05-14"
